source_line,source_status,source_section,source_title,source_fingerprint,disposition,import_action,canonical_source_line,stable_title_key,target_project_key,target_state,target_lane,existing_linear,risk,prerequisite,rationale
36,completed,Active (Phase 2 - Watch Mode),Deploy script brittleness around source dir + optional release check,3c4629b112b9ac723111c6d3f2640a4ec13d3c7c6988e9945e8acea665476c38,exclude_completed,none,,,,,,,none,,Source checkbox is completed
39,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",GitHub→Gateway deploy path with self-hosted runner or webhook deployer,0805e6a56418015117f55ec261b6b8e3746a1a7e05c93f2744aabec52f5f0186,import_candidate,verify_then_create,39,todo-github-gateway-deploy-path-with-self-hosted-runn-5596f4e947a0,entity-engineering,backlog,delivery-infrastructure,,high,No production promotion; verify current webhook/pipeline completion semantics,Actionable Entity repository or delivery-infrastructure engineering work
41,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",GitHub→Gateway deploy path with self-hosted runner or webhook deployer,3992ad621a7f038e75cc1732a48e267f0205fc394d2f356accfcb66519ce5364,merge_duplicate,none,39,,,,,,none,,Duplicate/status variant of source line 39
42,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",Module-linked automation registry,f98b7f882b9360efb1b51e536b7586cbf9d4bff2319ea2140a9349c9862c3b0b,defer_by_roadmap,none,,,,,future-discovery,,none,Entity/Helm boundary,"Reconsider only Entity-side read-only module metadata after WP2; skills, scripts, crons, and grants remain Helm-owned"
43,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",Mission Control output link normalization + broken task-link fix,de531e853fc8c15dd5bd558af82a8722374e7da87ffd6ce6e8c0bf7f6c3ec154,exclude_stale_or_status,none,,,,,,,none,,Source notes show completed/superseded status or a non-actionable status card
74,completed,"HIGH PRIORITY (NEW - Mar 30, 2026)",Pipeline docs drift detector,d85a0091dec81a6884a194d1fdba3a7134b5ebd9ddfc77c9f760194d663869df,exclude_completed,none,,,,,,,none,,Source checkbox is completed
75,completed,"HIGH PRIORITY (NEW - Mar 30, 2026)",File-restore state polish in editor/task sidebar,095350620d8f5329b5c18835ca3ee7c41a18a2b63da84d2d120ddcf5c11b4967,exclude_completed,none,,,,,,,none,,Source checkbox is completed
76,completed,"HIGH PRIORITY (NEW - Mar 30, 2026)",Ops Console live deployment follow-up,dcb13305ba0f0d169bfd6e85a35e729162acb009298b244c73c25f72eb34aa8f,exclude_completed,none,,,,,,,none,,Source checkbox is completed
77,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",Security Sandbox Integration,52070c1778670080e70dd133c59212a8c481f1ebea49af044148e6c19431212c,defer_by_roadmap,none,,,,,future-discovery,,none,Q47,Security/sandbox is cross-cutting after Workplanes/engine contract
78,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",Advanced Multi-Model Sub-Agent Routing,0a5bbfc36d142ff8f4f83eb40f49eb3067bac9ca78b3eb43f628173ab1d5a9eb,link_existing_linear,none,,,,,provider-registry,THE-724+ Provider Registry graph,inherit,,Already represented in the approved Linear/source-packet graph
79,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",Agent Performance Monitor Dashboard,2d8c94e52ffd307bb92f02bf87b84ff8151c86dbdd09da9f912bb7f6e7779c5d,defer_by_roadmap,none,,,,,future-discovery,,none,Q58,Performance dashboard waits for ActivityEvents and presence
80,open,"HIGH PRIORITY (NEW - Mar 30, 2026)",DigitalOcean 1-Click Deploy,4a599f9e75462ddefe630926cfc9d441a875c397b1e2c003edd111deb4528c4d,defer_by_roadmap,none,,,,,future-discovery,,none,locked roadmap,Deployment packaging is outside the current internal-loop spine
83,open,Active (Infrastructure),Cloud deployment - currently localhost only,690483046acc0c9f9873b54594f1b278af2f7058edf865e542e0ce6a2bdb5099,exclude_stale_or_status,none,,,,,,,none,,Source notes show completed/superseded status or a non-actionable status card
84,open,Active (Infrastructure),CI/CD pipeline - auto-build on push,662e8e81b226083d1e791db56a1a3c2cd6c82ae096bb5440fa08ca1f63faca1d,exclude_stale_or_status,none,,,,,,,none,,Source notes show completed/superseded status or a non-actionable status card
87,open,New Backlog Items (2026-04-28 Discovery),Adopt OpenClaw Skill Workshop plugin,49265c7c6ae41a955524ec20850dc5426b0b36d0fe4a4d3ec63448d25d2aaeb0,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
88,open,New Backlog Items (2026-04-28 Discovery),ClawHub package catalog integration,ab4ab5da09769eb11f7f18eda731e5866ba1018f52974c832120ccd65953cfae,defer_by_roadmap,none,,,,,future-discovery,,none,locked roadmap,Marketplace/catalog work is a later multiplier
89,open,New Backlog Items (2026-04-28 Discovery),Transient runtime context for heartbeats/crons,cf40650bd252abaeef2893b6c5cb639c97f5626ba11b35255488db34df870b01,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
90,open,New Backlog Items (2026-04-28 Discovery),"Production-ready server (not ts-node, 166 TS errors in dist)",e0e34f0d06c540eb547115337b838ca24955f5954c374f58ea85188128d16c03,import_candidate,verify_then_create,90,todo-production-ready-server-not-ts-node-166-ts-error-003591088191,entity-engineering,backlog,server-build,,medium,Reproduce against current origin/main; historical error count is not authority,Actionable Entity repository or delivery-infrastructure engineering work
91,open,New Backlog Items (2026-04-28 Discovery),Playwright reinstall for E2E on Enterprise,7bc8454cdf24ea9e60c9c3a894a1f2e21b7ab0e50cd3c586dbfc796006834fbf,exclude_external_or_noncoding,none,,,,,,,none,,"Separate product/repository, operator note, or documentation-only work"
92,open,New Backlog Items (2026-04-28 Discovery),Browser testing of Activity Stream grouping,846bf5c3f4e24b99266b698f742a0654007893b644f0064c5a336c69bc1c0564,import_candidate,create,92,todo-browser-testing-of-activity-stream-grouping-3e025d19cc70,entity-engineering,backlog,app-test,,low,Stable local browser fixture,Actionable Entity repository or delivery-infrastructure engineering work
95,open,MC v2 Features (Task #102 - Backlog),Output/Result fields on task cards,e089ff29e3284c99cd3d0bde4312909fef4db3c21b8f8157867c8fc01f2aa943,link_existing_linear,none,,,,,workplanes-proof,THE-863..THE-874,inherit,,Already represented in the approved Linear/source-packet graph
96,open,MC v2 Features (Task #102 - Backlog),Auto-Subtask Breakdown,a8e1c265a2843431632351c28f027943374106dea1051fd6dcbf823720260e32,import_candidate,create,96,todo-auto-subtask-breakdown-e1942e588c8f,entity-engineering,backlog,task-product,,medium,Workplanes slice 1 and task hierarchy contract,Actionable Entity repository or delivery-infrastructure engineering work
97,open,MC v2 Features (Task #102 - Backlog),Deliverable Links on Card,1a5b142200fe4c4bfc79985774c36fd2635099ac23ed1eef1368724ae674a41b,link_existing_linear,none,,,,,workplanes-proof,THE-863..THE-874,inherit,,Already represented in the approved Linear/source-packet graph
98,open,MC v2 Features (Task #102 - Backlog),In-Card Conversation,835a935564f165638da633ae30f2e0b583290e475df17630891a0868155ef97d,link_existing_linear,none,,,,,workplanes-channels,THE-873 and THE-917..THE-921,inherit,,Already represented in the approved Linear/source-packet graph
101,open,Universal Search (qmd Integration),SEARCH-001 through SEARCH-008,28ca5b92f2bf9d1631723aff875d879fbcaba45a5dfe579477e3bb02addb3376,link_existing_linear,none,,,,,scoped-search,THE-900..THE-905,inherit,,Already represented in the approved Linear/source-packet graph
105,open,"Backlog — Curacel-Sourced (Apr 4, 2026 Fireflies)",Claims dashboard Metabase integration,ea9fa4e6738b608bc28f28a8e6df8686a8657fbe386c2c8adf418de560ec6f71,defer_by_roadmap,none,,,,,future-discovery,,none,Q50,Curacel-sourced product wedge remains discovery
106,open,"Backlog — Curacel-Sourced (Apr 4, 2026 Fireflies)",Provider activation tracker widget,5e94a13c3125445e4d70e8f9b8ac899334e340e3d7f15b466eefdc63e424ace2,defer_by_roadmap,none,,,,,future-discovery,,none,Q50,Curacel-sourced product wedge remains discovery
109,open,"Backlog — OpenClaw Discovery Sweep (Apr 7, 2026)",ACP runtime readiness + cancelability hardening,898662fc2c842b33330803cefeb30da57d59e2a5c27ee9c879c8c1827f3a163b,link_existing_linear,none,,,,,execution-health,THE-896 plus Helm runtime boundary,inherit,,Already represented in the approved Linear/source-packet graph
110,open,"Backlog — OpenClaw Discovery Sweep (Apr 7, 2026)",Watch-mode unresolved lane ship order (Apr 26 operator card),7bef1bd6d1aa2345f9af1f4a42bcfc03b31595616c9214deaf5e7c2ec5d6178a,exclude_stale_or_status,none,,,,,,,none,,Source notes show completed/superseded status or a non-actionable status card
111,open,"Backlog — OpenClaw Discovery Sweep (Apr 7, 2026)",Persistent intra-gateway agent delegation bus,34a0fd2403ab89c30ccf71c4355f2e9bff205745668fc2fea7862cf8852fe539,link_existing_linear,none,,,,,agent-execution,THE-882..THE-899,inherit,,Already represented in the approved Linear/source-packet graph
112,open,"Backlog — OpenClaw Discovery Sweep (Apr 7, 2026)",Configurable channel health-monitor cadence + stale-socket controls,1662e20182a9bf3124779fc1f761758e8a6fb42357368ff93c04e105a18f43b1,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
113,open,"Backlog — OpenClaw Discovery Sweep (Apr 7, 2026)",Entity support for structured plan/progress events from OpenClaw runs,d9a1272c50c8bd95485c471e836b89696bf3a9c327dc43258b32f5d4586fb8b6,link_existing_linear,none,,,,,workplanes-activity,THE-869..THE-872,inherit,,Already represented in the approved Linear/source-packet graph
116,open,Backlog (Phase 3+),Module permissions + invite flow polish,d66310853e1bbcb3a32e3619df6e0c2745e392651edd1078b01b86fce9c11b5b,link_existing_linear,none,,,,,agent-invites,THE-876..THE-888,inherit,,Already represented in the approved Linear/source-packet graph
117,open,Backlog (Phase 3+),Agent identity + verification capability cards,c8b63e1321db804a3d477839afa17575602c761bbe8638fcee370686fc959422,link_existing_linear,none,,,,,agent-identity,THE-882..THE-888,inherit,,Already represented in the approved Linear/source-packet graph
118,open,Backlog (Phase 3+),"Execution-engine plugin contract (Entity as hub, runners as swappable arms)",99c56bce75e087d3f19521cc50b7aeeec3288488c745dce52bfe51efb662f687,link_existing_linear,none,,,,,execution-engine,THE-889..THE-899,inherit,,Already represented in the approved Linear/source-packet graph
119,open,Backlog (Phase 3+),Enterprise OAuth login + identity boundary,f66b8165e406d22214fa011f28e81ee0183a1588e4f769ab7ebc5185ba612cde,link_existing_linear,none,,,,,auth,THE-912..THE-916,inherit,,Already represented in the approved Linear/source-packet graph
120,open,Backlog (Phase 3+),Strategic tab: dependency-aware roadmap ordering,c63cf703b5d4686fdf123d9e477af5c0c35629f9e5835b23aa98536ec27044d2,link_existing_linear,none,,,,,strategic,THE-922..THE-925,inherit,,Already represented in the approved Linear/source-packet graph
121,open,Backlog (Phase 3+),UI verification evidence capture,60967abf7a25458723429d76466e9c31a6db3f7971cfa78bfd48dffbd6dac75f,link_existing_linear,none,,,,,proof-policy,THE-928 and per-UI-ticket proof gates,inherit,,Already represented in the approved Linear/source-packet graph
122,open,Backlog (Phase 3+),"Swarm operator presets (/loop, /schedule, worktree fan-out)",cc6106af4099d7064b2afa3a3b4d0a3c6d9b9796abb781bcbad0b939b9882b06,link_existing_linear,none,,,,,execution-presets,THE-898,inherit,,Already represented in the approved Linear/source-packet graph
123,open,Backlog (Phase 3+),Embedded browser pane (CUA integration),7e11a3f210b8f2d816ab97c8154deb62ba6632fc2f20cfac76699fe0896b3463,defer_by_roadmap,none,,,,,future-discovery,,none,Q60,Embedded browser pane waits until Workplanes prove the panel model
124,open,Backlog (Phase 3+),Telegram panel inside Entity,59f726c183bdbe50ec5a003590572439b1684faa02cade4aed266822e9a75385,defer_by_roadmap,none,,,,,future-discovery,,none,Q48,Channel panels wait for stable Workplanes and ActivityEvents
125,open,Backlog (Phase 3+),Terminal pane (xterm.js),6487f7236b11b933af80e61fc1e25c70ab19367a9fad3de022a31b672fdae88c,defer_by_roadmap,none,,,,,future-discovery,,none,Q60,Terminal pane waits until Workplanes prove the panel model
126,open,Backlog (Phase 3+),Spatial workspace (AI City vision),77756306708930f5995bf4e3d7756eedc2eb49765acb9a9236c920ce1d809599,defer_by_roadmap,none,,,,,future-discovery,,none,Q50,Spatial workspace remains a product bet
127,open,Backlog (Phase 3+),Agent monitor dashboard,9c795caa2a090fef2411ff75c0690bd3fb376b92825de164f6fbe143c3f800cf,defer_by_roadmap,none,,,,,future-discovery,,none,Q58,Performance dashboard waits for ActivityEvents and presence
128,open,Backlog (Phase 3+),Self-evolving skill engine,9e5c96be80fd5d72d7aaac1a18f039418910b3390de4b0b66e1a43e4bbb71113,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
129,open,Backlog (Phase 3+),WeChat integration,691e4409487004ee9bb377764f8d7e8e421c730fe7a8b2f23027f0167c5944d7,defer_by_roadmap,none,,,,,future-discovery,,none,Q48,Channel adapters wait for stable Workplanes and ActivityEvents
130,open,Backlog (Phase 3+),ClawHub marketplace integration,2068d866cec6ad79f3fc2e09636a996dc2f0d179b937255cfc3d69f02feb529b,defer_by_roadmap,none,,,,,future-discovery,,none,locked roadmap,Marketplace work is not in the current Entity core queue
131,open,Backlog (Phase 3+),/btw side conversation support,779af8ffbc1654968ebf31399162c25399ff49b8ab7651df63580c25aa06884f,exclude_external_or_noncoding,none,,,,,,,none,,"Separate product/repository, operator note, or documentation-only work"
132,open,Backlog (Phase 3+),NemoClaw/OpenShell sandbox mode,476a0a4ff4639fc72fed844a9d771456b06c4495eb364b51965e900f5a1ed63e,defer_by_roadmap,none,,,,,future-discovery,,none,Q47,Security/sandbox is cross-cutting after Workplanes/engine contract
133,open,Backlog (Phase 3+),Advanced multi-model sub-agent routing,8f22fc1ebcda4668a10b33e6d0e7d2ecd1d9c918d4d34d46fc5a9e29e351db27,merge_duplicate,none,78,,,,,,none,,Duplicate/status variant of source line 78
134,open,Backlog (Phase 3+),DefenseClaw integration,abcff6d7739d511d0c3ce8b557972b265ab16eea782c9170dc92c4c46da18838,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
135,open,Backlog (Phase 3+),Security Sandbox Integration,84fef6beb79dbf50ecc1d717657ebda9d0050a5e0bf44490392e1571c0d15873,merge_duplicate,none,77,,,,,,none,,Duplicate/status variant of source line 77
136,open,Backlog (Phase 3+),Agent Performance Monitor Dashboard,0fd0848289d1771241554098e13511f8c7cce7aeaef67488e8a9d242d99d5318,merge_duplicate,none,79,,,,,,none,,Duplicate/status variant of source line 79
137,open,Backlog (Phase 3+),DigitalOcean 1-Click Deploy,22c677e55f25e83bc93e1df980bdbc397d96c5de25205270635f4e94acf7c9d8,merge_duplicate,none,80,,,,,,none,,Duplicate/status variant of source line 80
140,completed,Completed (Feb 17 Sprint) ✅,Binary file preview (images + text preview in DocHub),c4b4eab7949ce8e6da07f539bac8bc1af70745274d75f6afe96d55c365c9f2ac,exclude_completed,none,,,,,,,none,,Source checkbox is completed
141,completed,Completed (Feb 17 Sprint) ✅,Feature flags default to true,18d8ea800b575e09b1ab7404d9875bf7a4e0885671bfbab718521f15032f183b,exclude_completed,none,,,,,,,none,,Source checkbox is completed
142,completed,Completed (Feb 17 Sprint) ✅,UI polish,db9efd94d5c27753128315b55ab6c3e73f021e0c3e0db8c1aa2bd14a95975a4f,exclude_completed,none,,,,,,,none,,Source checkbox is completed
143,completed,Completed (Feb 17 Sprint) ✅,ANE comments working,6170cc4256ae6751ef849871f152cf78d8207a0430aedac5cae66950abf4793d,exclude_completed,none,,,,,,,none,,Source checkbox is completed
144,completed,Completed (Feb 17 Sprint) ✅,Task Master admin page,00a7e9ed97d429eb15c346edb9d04280c982a95ce7818cb2a40c7243c41ebc88,exclude_completed,none,,,,,,,none,,Source checkbox is completed
145,completed,Completed (Feb 17 Sprint) ✅,Source file save fixed,415baddbdd458cac70db56756d2930c48b50398b4b783fdda0da85bdb59b7785,exclude_completed,none,,,,,,,none,,Source checkbox is completed
146,completed,Completed (Feb 17 Sprint) ✅,FileIndexRunner wired up,0f4351353fa85b113db16f6e580d0d5b84f8644d4939d823e960a1b29d52a663,exclude_completed,none,,,,,,,none,,Source checkbox is completed
147,completed,Completed (Feb 17 Sprint) ✅,Obsidian vault cleanup,409e12a4e0ea307d85414824cce1b71f21c17a7cd3bd393f874ed1174abe307c,exclude_completed,none,,,,,,,none,,Source checkbox is completed
148,completed,Completed (Feb 17 Sprint) ✅,Fireflies mine:true fix,f3a0629eb751d1fe0a1eeddc91139d07cc00ac2ed66e5a5036436de9d39465af,exclude_completed,none,,,,,,,none,,Source checkbox is completed
149,completed,Completed (Feb 17 Sprint) ✅,Fireflies full export,1126ed9e4094fe38c607ca42949d106205b099796ceb8a4048a15f1e7bd8b7d9,exclude_completed,none,,,,,,,none,,Source checkbox is completed
150,completed,Completed (Feb 17 Sprint) ✅,Calls rsync cron,1e65b1e7b34e1704835dd1959c67deb3450b65cb3c8a2f508437b933db047ad6,exclude_completed,none,,,,,,,none,,Source checkbox is completed
151,completed,Completed (Feb 17 Sprint) ✅,Entity context files rewrite,654e12b261114bbf54e3da507033a055d4f2ba6f6678314ad55c97ea1be1394e,exclude_completed,none,,,,,,,none,,Source checkbox is completed
152,completed,Completed (Feb 17 Sprint) ✅,Activity stream agent names,6bc80cd40f23ba8c4268670db167803af8718cef95a1a044316975f68cafdcd4,exclude_completed,none,,,,,,,none,,Source checkbox is completed
153,completed,Completed (Feb 17 Sprint) ✅,Activity stream grouping,5d1c9bca081f6ab237df3d5251deb7515375ea9b4a50a2bbb7e06b58bcc69f80,exclude_completed,none,,,,,,,none,,Source checkbox is completed
154,completed,Completed (Feb 17 Sprint) ✅,Deleted .context/,4da4d9141c7ccdb427a4c58af04f71cda7e22d1d73edc44dd6e0986ae4bf0f84,exclude_completed,none,,,,,,,none,,Source checkbox is completed
155,completed,Completed (Feb 17 Sprint) ✅,ANE-020: AI Review Integration ✅,b92f98db1978762b899b116c48f874371d5bceb96e184723f9ebb27921e60be5,exclude_completed,none,,,,,,,none,,Source checkbox is completed
156,completed,Completed (Feb 17 Sprint) ✅,Search endpoints (collections + document search) ✅,1e0b863a707dc3b885e81661ab1a7c6a01af2adc563b2ee8acfe5c23f06e1438,exclude_completed,none,,,,,,,none,,Source checkbox is completed
157,completed,Completed (Feb 17 Sprint) ✅,All ANE features (ANE-013 through ANE-019) ✅,d171d7149405b508315f267e257bfc3357173d22cc4ffad6d2b0aaadbb7f265e,exclude_completed,none,,,,,,,none,,Source checkbox is completed
158,completed,Completed (Feb 17 Sprint) ✅,MC Integration (10/10 stories) ✅,e7ac6abd2f8f5d00242013eca2f25687239caa43035a46c3e65e7965894eb734,exclude_completed,none,,,,,,,none,,Source checkbox is completed
159,completed,Completed (Feb 17 Sprint) ✅,Phase 2 stories 1-3 ✅,f97f03bfb393ac96038a1d650c0dabcafb18178169122587edf6af74875761b0,exclude_completed,none,,,,,,,none,,Source checkbox is completed
160,completed,Completed (Feb 17 Sprint) ✅,File System multi-source (26/26) ✅,724f46c3306ef6f601dc81077b76384079f46834006c976e3eb9324ab84ac46c,exclude_completed,none,,,,,,,none,,Source checkbox is completed
161,completed,Completed (Feb 17 Sprint) ✅,"Auth/Login, Admin panel, MC sub-views ✅",5d6399d227d89527be15341d41c74286897bd347d8424445e6ed9c879cd019b5,exclude_completed,none,,,,,,,none,,Source checkbox is completed
162,completed,Completed (Feb 17 Sprint) ✅,"Entity deployed on Enterprise (port 3000, replaced MC) ✅",6412262140b19fb8023a07b1ff215038bbc92104abadc0a541911f5889436101,exclude_completed,none,,,,,,,none,,Source checkbox is completed
165,open,New — Apr 9 Roadmap Discovery,Zora Google Places integration,7b971079f315b964f8380d52664c3254d084950cd6670ceb164ccf00ad36e332,exclude_external_or_noncoding,none,,,,,,,none,,"Separate product/repository, operator note, or documentation-only work"
166,open,New — Apr 9 Roadmap Discovery,Slack cross-context posting via subagent,864b1062884e13091e76c9fc54d568614de0bf6dde52e6690b50bf6717004318,exclude_manual_or_destructive,none,,,,,,,high,,"Requires manual credentials, production data, or destructive operator action"
169,open,New — Apr 11 Roadmap Discovery,OpenClaw 2026.4 infer hub,78989101a04fdbf95806f69e185ce61e2f3dae041690decba7f562bf68af6c72,link_existing_linear,none,,,,,provider-registry,THE-724+ Provider Registry graph,inherit,,Already represented in the approved Linear/source-packet graph
170,open,New — Apr 11 Roadmap Discovery,OpenClaw GHSA security skill (openclaw-ghsa-maintainer),6ee7e693d9c29fdf44d08bbb6a091d595e535fcc587906f350dfd5ef8f5fc9e5,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
171,open,New — Apr 11 Roadmap Discovery,Disable specific skill source directories,a535ac2b80b4ee7c504446dc11ad6aff12efda63657a69da68097218b2cd8a02,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
172,open,New — Apr 11 Roadmap Discovery,Suppress transient channel connection status events,c930d7692cb08e88ac3b78f51533e4e3b1518d5aac73d6b39eba58374c074f24,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
173,open,New — Apr 11 Roadmap Discovery,Dreaming recall store bug (memory/ subdirectory),85a9eff0773db8fa94ed565549a22eff9cd8c075641f568a0e00274e1d31cf32,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
174,open,New — Apr 11 Roadmap Discovery,Slack upload-file mediaLocalRoots bug,ce5106355603af8f950a246c5df0c1e5c91a0d36f0503b88ed177199fcfe605d,route_external_runtime_owner,none,,,,,helm-or-runtime,,inherit,,Deep runtime/provider/config ownership is outside Entity core
